|circuitId|url|circuitName|Location.lat|Location.long|Location.locality|Location.country|season|round|date|time|race name|fastest|mean_s|median_s|std dev_s|mean_p|median_p|std dev_p
0|sochi|http://en.wikipedia.org/wiki/2014_Russian_Grand_Prix|Sochi Autodrom|43.4057|39.9578|Sochi|Russia|2014|16|2014-10-12|11:00:00Z|Russian Grand Prix|98.338|100.52533333333332|100.052|1.6654237398732283|102.22430121960315|101.74296813032603|1.6935708880323288
0|americas|http://en.wikipedia.org/wiki/2014_United_States_Grand_Prix|Circuit of the Americas|30.1328|-97.6411|Austin|USA|2014|17|2014-11-02|20:00:00Z|United States Grand Prix|96.067|98.08005555555559|98.09100000000001|1.0787534457567345|102.09547040664908|102.10686291858806|1.1229178029466256
0|interlagos|http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix|Autódromo José Carlos Pace|-23.7036|-46.6997|São Paulo|Brazil|2014|18|2014-11-09|16:00:00Z|Brazilian Grand Prix|70.023|71.20772222222223|71.087|0.7291171781525414|101.69190440601261|101.51950073547265|1.0412538425268014
0|yas_marina|http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix|Yas Marina Circuit|24.4672|54.6031|Abu Dhabi|UAE|2014|19|2014-11-23|13:00:00Z|Abu Dhabi Grand Prix|100.48|102.28572222222222|102.1875|1.1569522236083987|101.7970961606511|101.69934315286623|1.1514253817758764
0|albert_park|http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix|Albert Park Grand Prix Circuit|-37.8497|144.968|Melbourne|Australia|2015|1|2015-03-15|05:00:00Z|Australian Grand Prix|86.327|88.8005|88.643|1.5094542157388424|102.8652681084713|102.68282229198282|1.7485308370948176
0|sepang|http://en.wikipedia.org/wiki/2015_Malaysian_Grand_Prix|Sepang International Circuit|2.76083|101.738|Kuala Lumpur|Malaysia|2015|2|2015-03-29|07:00:00Z|Malaysian Grand Prix|99.269|100.80926315789475|100.504|1.5719982627254072|101.55160539331989|101.244094329549|1.5835741900547091
0|shanghai|http://en.wikipedia.org/wiki/2015_Chinese_Grand_Prix|Shanghai International Circuit|31.3389|121.22|Shanghai|China|2015|3|2015-04-12|06:00:00Z|Chinese Grand Prix|95.782|98.29839999999999|98.1305|1.7574271086179538|102.62721596959764|102.45192207304086|1.8348198081246507
0|bahrain|http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix|Bahrain International Circuit|26.0325|50.5106|Sakhir|Bahrain|2015|4|2015-04-19|15:00:00Z|Bahrain Grand Prix|92.571|94.74931578947368|94.462|1.8290956797958786|102.35312980250153|102.04275637078568|1.9758841103540852
0|catalunya|http://en.wikipedia.org/wiki/2015_Spanish_Grand_Prix|Circuit de Barcelona-Catalunya|41.57|2.26111|Montmeló|Spain|2015|5|2015-05-10|12:00:00Z|Spanish Grand Prix|84.681|87.23305000000002|86.9865|1.8620000982248828|103.01372208641844|102.72257058844369|2.1988404697923807
0|monaco|http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix|Circuit de Monaco|43.7347|7.42056|Monte-Carlo|Monaco|2015|6|2015-05-24|12:00:00Z|Monaco Grand Prix|75.098|77.24419999999998|76.9075|1.5102665711024235|102.8578657221231|102.40951822951345|2.0110609751290625
0|villeneuve|http://en.wikipedia.org/wiki/2015_Canadian_Grand_Prix|Circuit Gilles Villeneuve|45.5|-73.5228|Montreal|Canada|2015|7|2015-06-07|18:00:00Z|Canadian Grand Prix|74.393|76.21831578947369|76.006|1.3380309352274808|102.45361228808312|102.16821475138791|1.7985978993016587
0|red_bull_ring|http://en.wikipedia.org/wiki/2015_Austrian_Grand_Prix|Red Bull Ring|47.2197|14.7647|Spielberg|Austria|2015|8|2015-06-21|12:00:00Z|Austrian Grand Prix|68.455|70.62545|70.14699999999999|1.8926809021513429|103.17062303703162|102.47169673508144|2.7648541408974405
0|silverstone|http://en.wikipedia.org/wiki/2015_British_Grand_Prix|Silverstone Circuit|52.0786|-1.01694|Silverstone|UK|2015|9|2015-07-05|12:00:00Z|British Grand Prix|92.248|94.3181|93.9995|1.641753744595923|102.24405949180469|101.89868615037724|1.779717440590499
0|hungaroring|http://en.wikipedia.org/wiki/2015_Hungarian_Grand_Prix|Hungaroring|47.5789|19.2486|Budapest|Hungary|2015|10|2015-07-26|12:00:00Z|Hungarian Grand Prix|82.02|84.06320000000002|83.8155|1.4754496763252962|102.49109973177274|102.18910021945868|1.7988901198796599
0|spa|http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix|Circuit de Spa-Francorchamps|50.4372|5.97139|Spa|Belgium|2015|11|2015-08-23|12:00:00Z|Belgian Grand Prix|107.197|109.49205000000002|109.09299999999999|1.5443312459988685|102.14096476580501|101.76870621379328|1.4406478222327757
0|monza|http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix|Autodromo Nazionale di Monza|45.6156|9.28111|Monza|Italy|2015|12|2015-09-06|12:00:00Z|Italian Grand Prix|83.383|84.95884210526316|84.51|1.3127450570447117|101.88988415535921|101.35159444970799|1.5743557524252105
0|marina_bay|http://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix|Marina Bay Street Circuit|1.2914|103.864|Marina Bay|Singapore|2015|13|2015-09-20|12:00:00Z|Singapore Grand Prix|103.885|106.32755|105.84800000000001|1.9126256814568856|102.35120566010494|101.88958944987246|1.841098985856365
0|suzuka|http://en.wikipedia.org/wiki/2015_Japanese_Grand_Prix|Suzuka Circuit|34.8431|136.541|Suzuka|Japan|2015|14|2015-09-27|05:00:00Z|Japanese Grand Prix|92.584|94.98384999999999|94.2955|3.1802625723275386|102.59207854488898|101.84859154929578|3.4350023463314816
0|sochi|http://en.wikipedia.org/wiki/2015_Russian_Grand_Prix|Sochi Autodrom|43.4057|39.9578|Sochi|Russia|2015|15|2015-10-11|11:00:00Z|Russian Grand Prix|97.113|99.36352631578949|98.926|1.7800359661916016|102.31743053534487|101.86689732579572|1.83295332879388
0|americas|http://en.wikipedia.org/wiki/2015_United_States_Grand_Prix|Circuit of the Americas|30.1328|-97.6411|Austin|USA|2015|16|2015-10-25|19:00:00Z|United States Grand Prix|116.495|120.13600000000001|119.6365|2.8672436057539383|103.12545602815571|102.69668226104123|2.4612589430910643
0|rodriguez|http://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix|Autódromo Hermanos Rodríguez|19.4042|-99.0907|Mexico City|Mexico|2015|17|2015-11-01|19:00:00Z|Mexican Grand Prix|79.48|81.10673684210526|80.788|1.280467702838183|102.04672476359494|101.64569703069955|1.6110564957702356
0|interlagos|http://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix|Autódromo José Carlos Pace|-23.7036|-46.6997|São Paulo|Brazil|2015|18|2015-11-15|16:00:00Z|Brazilian Grand Prix|71.282|72.92173684210526|72.712|1.3208793721568495|102.30035190104832|102.006116551163|1.8530335458556852
0|yas_marina|http://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix|Yas Marina Circuit|24.4672|54.6031|Abu Dhabi|UAE|2015|19|2015-11-29|13:00:00Z|Abu Dhabi Grand Prix|100.237|102.55609999999999|102.5015|1.7364441858367665|102.31361672835381|102.2591458243962|1.7323385434886993
